date,type,price,size,stop_price,capital,pnl
2023-12-18,BUY,3925.0,4,3896.0,63274.35700000001,
2023-12-24,SELL,3998.0,4,,65986.46100000002,2920.0
2023-12-26,BUY,4023.0,3,3981.0,65829.56400000003,
2023-12-28,SELL,4002.0,3,,65043.486000000026,-630.0
2024-01-01,BUY,4047.0,1,3976.0,64990.87500000003,
2024-01-03,SELL,4046.0,1,,64928.27700000003,-10.0
2024-01-07,SELL,3950.0,-1,4053.0,64876.92700000003,
2024-01-11,BUY,3902.0,-1,,65306.20100000003,480.0
2024-01-15,SELL,3899.0,-4,3931.0,65103.45300000003,
2024-01-19,BUY,3915.0,-4,,64259.87300000003,-640.0
2024-01-21,SELL,3902.0,-7,3920.0,63904.79100000003,
2024-01-23,BUY,3955.0,-7,,59834.88600000003,-3710.0
2024-01-25,BUY,3973.0,1,3893.0,59783.23700000003,
2024-01-29,SELL,3913.0,1,,59132.36800000003,-600.0
2024-01-31,SELL,3868.0,-1,3992.0,59082.08400000003,
2024-02-04,BUY,3833.0,-1,,59382.255000000034,350.0
2024-02-18,SELL,3808.0,-2,3865.0,59283.24700000003,
2024-02-22,BUY,3790.0,-2,,59544.70700000003,360.0
2024-02-28,SELL,3788.0,-2,3828.0,59446.219000000034,
2024-03-03,BUY,3762.0,-2,,59868.407000000036,520.0
2024-03-05,SELL,3712.0,-1,3776.0,59820.151000000034,
2024-03-17,BUY,3513.0,-1,,61764.48200000003,1990.0
2024-03-25,SELL,3499.0,-1,3630.0,61718.99500000003,
2024-03-31,BUY,3456.0,-1,,62104.06700000003,430.0
2024-04-10,BUY,3613.0,1,3446.0,62057.098000000035,
2024-04-14,SELL,3616.0,1,,62040.09000000003,30.0
2024-04-16,BUY,3682.0,1,3586.0,61992.22400000003,
2024-04-18,SELL,3675.0,1,,61874.44900000003,-70.0
2024-04-24,BUY,3669.0,3,3635.0,61731.35800000003,
2024-04-28,SELL,3675.0,3,,61768.03300000003,180.0
2024-05-06,BUY,3723.0,1,3634.0,61719.634000000035,
2024-05-08,SELL,3669.0,1,,61131.937000000034,-540.0
2024-05-12,BUY,3686.0,2,3627.0,61036.10100000003,
2024-05-14,SELL,3621.0,2,,59641.95500000003,-1300.0
2024-05-16,BUY,3716.0,1,3607.0,59593.64700000003,
2024-05-26,SELL,3763.0,1,,60014.72800000003,470.0
2024-06-03,SELL,3646.0,-1,3820.0,59967.33000000003,
2024-06-05,BUY,3665.0,-1,,59729.685000000034,-190.0
2024-06-07,SELL,3655.0,-9,3668.0,59302.05000000003,
2024-06-13,BUY,3637.0,-9,,60496.52100000003,1620.0
2024-06-17,SELL,3618.0,-3,3658.0,60355.41900000003,
2024-06-25,BUY,3563.0,-3,,61866.46200000003,1650.0
2024-06-27,SELL,3544.0,-5,3567.0,61636.10200000003,
2024-07-01,BUY,3562.0,-5,,60504.57200000003,-900.0
2024-07-05,SELL,3553.0,-1,3629.0,60458.38300000003,
2024-07-11,BUY,3523.0,-1,,60712.58400000003,300.0
2024-07-17,SELL,3492.0,-1,3581.0,60667.18800000003,
2024-07-31,BUY,3355.0,-1,,61993.57300000003,1370.0
2024-08-04,SELL,3367.0,-8,3382.0,61643.405000000035,
2024-08-18,BUY,3156.0,-8,,78195.18100000003,16880.0
2024-08-22,SELL,3154.0,-1,3238.0,78154.17900000003,
2024-08-26,BUY,3249.0,-1,,77161.94200000004,-950.0
2024-08-30,SELL,3222.0,-2,3285.0,77078.17000000004,
2024-09-09,BUY,3080.0,-2,,79838.09000000004,2840.0
2024-09-17,SELL,3150.0,-2,3219.0,79756.19000000005,
2024-09-19,BUY,3165.0,-2,,79373.90000000005,-300.0
2024-09-23,BUY,3217.0,1,3128.0,79332.07900000006,
2024-10-07,SELL,3486.0,1,,81976.76100000006,2690.0
2024-10-11,BUY,3468.0,2,3412.0,81886.59300000005,
2024-10-15,SELL,3447.0,2,,81376.97100000005,-420.0
2024-10-25,BUY,3376.0,1,3290.0,81333.08300000004,
2024-10-29,SELL,3442.0,1,,81948.33700000004,660.0
2024-11-04,BUY,3433.0,2,3370.0,81859.07900000004,
2024-11-06,SELL,3436.0,2,,81829.74300000005,60.0
2024-11-08,SELL,3367.0,-2,3446.0,81742.20100000004,
2024-11-12,BUY,3337.0,-2,,82255.43900000004,600.0
2024-11-14,SELL,3232.0,-1,3367.0,82213.42300000004,
2024-11-18,BUY,3322.0,-1,,81270.23700000004,-900.0
2024-11-22,SELL,3277.0,-2,3345.0,81185.03500000003,
2024-11-24,BUY,3297.0,-2,,80699.31300000004,-400.0
2024-12-02,BUY,3352.0,2,3284.0,80612.16100000004,
2024-12-04,SELL,3280.0,2,,79086.88100000004,-1440.0
2024-12-06,SELL,3311.0,-3,3352.0,78957.75200000004,
2024-12-08,BUY,3330.0,-3,,78257.88200000004,-570.0
2024-12-10,BUY,3413.0,1,3288.0,78213.51300000004,
2024-12-12,SELL,3360.0,1,,77639.83300000004,-530.0
2024-12-16,BUY,3364.0,11,3351.0,77158.78100000005,
2024-12-18,SELL,3287.0,11,,68218.74000000005,-8470.0
2024-12-20,SELL,3279.0,-1,3364.0,68176.11300000006,
2024-12-22,BUY,3290.0,-1,,68023.34300000005,-110.0
2024-12-26,SELL,3268.0,-2,3316.0,67938.37500000006,
2024-12-30,BUY,3309.0,-2,,67032.34100000006,-820.0
